Level of Sociality,Degree of floral specialization ,Habitat floral host,bee species,bee genus/species,Date bee captured and installed in bioassay unit (Julian day),bee sex,Imidacloprid concentration (parts per billion),bee longevity in bioassay (days),days paralyzed,days active,% of days bee is paralyzed
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,F,20,8,2,6,25
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,F,20,8,2,6,25
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,F,20,8,2,6,25
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,F,100,7,4,3,57
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,F,100,8,3,5,38
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,193,M,0,6,0,6,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,193,M,5,7,2,5,29
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,193,M,20,1,1,0,100
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,193,M,20,10,4,6,40
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,193,M,100,1,1,0,100
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,195,M,0,2,0,2,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,195,M,0,4,0,4,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,195,M,20,7,4,3,57
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,198,M,0,2,0,2,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,198,M,5,8,1,7,13
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,198,M,100,6,0,6,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,199,M,0,19,4,15,21
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,199,M,5,14,1,13,7
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,199,M,100,5,1,4,20
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,200,M,5,4,0,4,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,200,M,5,8,0,8,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,200,M,20,10,5,5,50
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,200,M,100,4,1,3,25
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,200,M,100,4,3,1,75
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,206,M,5,5,3,2,60
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,206,M,20,11,1,10,9
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,206,M,20,16,2,14,13
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,208,M,5,1,0,1,0
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,M,5,8,4,4,50
SOLITARY,OLIGOLECTIC,OKRA,P bombiformis,PTILOTHRIX,212,M,5,9,3,6,33
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,0,5,1,4,20
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,0,6,0,6,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,0,6,1,5,17
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,5,4,2,2,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,5,6,4,2,67
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,20,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,20,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,M,20,5,1,4,20
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,100,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,100,3,2,1,67
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,100,4,3,1,75
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,156,F,100,10,8,2,80
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,0,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,M,0,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,5,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,20,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,M,100,3,3,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,F,100,3,3,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,157,M,100,4,4,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,0,7,0,7,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,0,7,1,6,14
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,5,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,20,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,100,3,3,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,160,F,100,3,3,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,163,F,0,11,1,10,9
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,163,F,5,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,163,M,20,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,163,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,163,F,100,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,0,7,0,7,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,0,8,0,8,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,0,8,0,8,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,M,0,9,1,8,11
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,5,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,5,3,0,3,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,20,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,20,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,20,3,2,1,67
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,20,5,1,4,20
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,166,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,M,0,5,0,5,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,0,6,0,6,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,0,7,0,7,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,5,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,20,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,20,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,20,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,20,3,1,2,33
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,20,3,1,2,33
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,100,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,167,F,100,3,3,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,0,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,0,6,0,6,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,0,7,0,7,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,5,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,20,2,1,1,50
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,20,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,20,3,2,1,67
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,170,F,100,1,1,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,171,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,171,F,0,6,0,6,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,171,F,5,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,171,F,20,2,2,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,Peponapis pruinosa,PEPONAPIS,171,F,20,3,3,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,0,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,5,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,F,5,4,3,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,20,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,20,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,F,20,2,2,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,100,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,294,M,100,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,M,0,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,0,9,1,7,13
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,M,5,2,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,M,5,2,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,5,5,0,4,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,5,5,4,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,20,4,2,1,67
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,20,4,2,1,67
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,M,100,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,F,100,2,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,297,M,100,3,2,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,299,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,299,F,0,5,1,3,25
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,299,F,20,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,299,F,20,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,299,F,20,5,2,2,50
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,0,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,0,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,5,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,20,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,20,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,100,2,2,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,100,3,2,1,67
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,269,M,100,4,0,4,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,272,M,0,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,272,M,5,4,0,4,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,272,M,20,4,0,4,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,272,M,100,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,0,3,1,2,33
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,0,8,1,7,13
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,0,12,0,12,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,5,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,5,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,F,5,4,2,2,50
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,F,20,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,20,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,100,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,M,100,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,276,F,100,4,3,1,75
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,277,F,0,3,1,2,33
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,0,4,1,3,25
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,5,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,5,5,1,4,20
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,279,F,20,4,1,3,25
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,5,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,20,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,20,3,1,2,33
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,F,100,3,1,2,33
SOLITARY,OLIGOLECTIC,SUNFLOWER,Svastra aegis,SVASTRA,283,M,100,7,5,2,71
SOLITARY,.,SUNFLOWER,T concavus,TRIEPEOLUS,269,M,0,1,0,1,0
SOLITARY,.,SUNFLOWER,T concavus,TRIEPEOLUS,269,M,5,2,0,2,0
SOLITARY,.,SUNFLOWER,T concavus,TRIEPEOLUS,269,M,20,1,0,1,0
SOLITARY,.,SUNFLOWER,T concavus,TRIEPEOLUS,276,M,5,4,1,3,25
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,294,M,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,294,F,20,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,294,F,20,1,1,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,297,F,0,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,297,F,0,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,297,F,20,2,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,297,M,20,3,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,299,M,0,1,0,0,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,299,M,20,3,2,0,100
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,272,M,0,10,0,10,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,272,M,20,5,0,5,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,276,F,0,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,276,F,5,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,276,M,20,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,276,F,100,3,0,3,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,277,F,0,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,277,F,5,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,277,M,20,2,0,2,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,277,F,100,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,277,F,100,2,1,1,50
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,279,M,0,13,1,12,8
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,279,M,20,4,1,3,25
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,279,F,100,2,1,1,50
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,283,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Trachusa zebrata,TRACHUSA,283,F,100,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,156,F,20,3,2,1,67
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,F,20,3,1,2,33
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,F,100,6,6,0,100
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,160,F,100,4,3,1,75
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,163,F,5,1,0,1,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,163,F,5,4,1,3,25
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,166,F,5,4,0,4,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,166,F,20,3,1,2,33
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,170,F,0,8,0,8,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,170,F,5,2,0,2,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,171,F,0,8,0,8,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,171,F,20,6,5,1,83
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,156,M,0,10,0,10,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,156,M,0,10,0,10,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,156,M,5,5,3,2,60
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,156,M,5,9,1,8,11
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,0,6,0,6,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,0,7,0,7,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,5,4,0,4,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,5,4,0,4,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,20,11,2,9,18
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,157,M,20,11,2,9,18
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,163,M,20,4,1,3,25
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,166,M,100,4,0,4,0
SOLITARY,OLIGOLECTIC,CUCURBITA,X strenua,XENOGLOSSA,170,M,100,1,0,1,0
SOCIAL,POLYLECTIC,SUNFLOWER,Xylocopa micans,XYLOCOPA,187,F,20,12,8,4,67